,min,max,mean,mean_top_dec,FDR,pos,neg
DEL1q21_1,-1.0726377333815993,0.6199852988824013,-0.0027691185633206025,0.44313064303233485,12.0,1,11
DEL2q13,-0.15287563900202128,0.18709210079329297,-0.001133873689585314,0.10784316722551338,0.0,0,0
NRXN1del,-1.2193332111568869,0.9162405770257722,-0.010899360978454726,0.6550935730447472,0.0,0,0
DEL13q12_12,-0.5436504774869074,0.49642694030195533,-0.002534436741502036,0.33988988050481816,0.0,0,0
DEL15q11_2,-0.29527298161423426,0.3604544977007776,-0.00029785090446591704,0.19906587614559912,1.0,1,0
DEL16p11_2,-0.9804276052155245,1.6710948888813677,0.008451492723068381,0.56885069052979,273.0,124,149
DEL16p13_11,-0.776502059740868,0.7582635881983218,0.0018818290375869535,0.45372255468080785,0.0,0,0
DEL17p12,-0.6682083055203056,0.4599270528435215,-0.0011678505831792564,0.40155021965701476,0.0,0,0
DEL22q11_2,-1.4813339182449443,1.006440923954061,-0.009930381869636268,0.6556061943758805,17.0,4,13
TAR_dup,-0.4813376942312777,0.5115826464549525,0.0003201147568447685,0.2795640555038342,0.0,0,0
DUP1q21_1,-0.6170588963289838,0.8384307060123866,0.0004354989487382448,0.48588838381093036,4.0,4,0
DUP2q13,-0.3444599214342982,0.26328904599319114,-0.00034437002540904286,0.1786269110129632,0.0,0,0
DUP13q12_12,-0.5343167872569453,0.4833266497074808,-0.0014563032779530791,0.31116354083269443,0.0,0,0
DUP15q11_2,-0.23632360914918588,0.23718117189164317,0.00032053424054390286,0.15921698911676993,0.0,0,0
DUP15q13_3_CHRNA7,-0.20232607109584483,0.1806369073967352,-0.000534655947786626,0.10626100254399592,0.0,0,0
DUP16p11_2,-1.0453361215399277,0.5482772315879434,-0.0012978083393859958,0.37735526998332164,7.0,4,3
DUP16p13_11,-0.41758053618756,0.4045232473121414,-0.001613775229972818,0.25550898451808923,0.0,0,0
DUP17p12,-0.7041560217310796,1.243058306166476,0.004167017220853861,0.5563201242398133,2.0,2,0
DUP22q11_2,-0.7801746965719132,0.6872138897753076,-0.005862688486487887,0.42772791779988,2.0,0,2
SZ,-0.41144189164588263,0.4998138050130151,-0.0012812761322646147,0.30196251727775003,450.0,208,242
BIP,-0.6718067577528702,0.6314922597841233,-0.004639328399781131,0.4258778560950319,34.0,22,12
ASD,-0.34625298822551154,0.42269679578203817,-0.0021671342490396394,0.20881184241055048,32.0,21,11
ADHD,-0.21972973130166826,0.21691747791998944,0.0006722894418264809,0.1457127028511573,0.0,0,0
