,min,max,mean,mean_top_dec,FDR,pos,neg
DEL1q21_1,-1.0850731842200596,0.6086746689101885,-0.018039717591209595,0.44785305570534995,1.0,0,1
DEL2q13,-0.11485537211334568,0.22318280276822108,0.03770654418605939,0.13286669369196352,0.0,0,0
NRXN1del,-0.9896783872666763,1.2102845229046109,0.2618613900690404,0.790686851971322,0.0,0,0
DEL13q12_12,-0.5174893028296564,0.5322839422353872,0.029771332140085545,0.34544310161237995,0.0,0,0
DEL15q11_2,-0.26141627885943575,0.3757385287501346,0.03726065412417806,0.21233992224374615,0.0,0,0
DEL16p11_2,-0.8383708105500871,1.823629501766873,0.1842155133755733,0.6578769620730065,192.0,183,9
DEL16p13_11,-0.880113492615016,0.6540481354844931,-0.12947936352332953,0.5212891421888812,0.0,0,0
DEL17p12,-0.7865669708350898,0.3478647426810984,-0.11440248286219665,0.48588425042666594,0.0,0,0
DEL22q11_2,-1.606907249071537,0.8022422461673859,-0.2517614377287908,0.8050910395105266,38.0,0,38
TAR_dup,-0.5369311200955205,0.4246293417894246,-0.08418210823179086,0.3214239520984845,0.0,0,0
DUP1q21_1,-0.3895767194305225,1.1211166840239992,0.30204028170847474,0.7187209614705091,102.0,102,0
DUP2q13,-0.3644148293876146,0.23821673257213793,-0.02805038971732951,0.18877890207357909,0.0,0,0
DUP13q12_12,-0.3061372846133087,0.7877345695460578,0.3074663427132936,0.5929191120859287,0.0,0,0
DUP15q11_2,-0.2832164362259796,0.18349999927360958,-0.05745575862465409,0.197798257231274,0.0,0,0
DUP15q13_3_CHRNA7,-0.1959738475584069,0.18600274533554656,0.006749131698127093,0.10640161333983664,0.0,0,0
DUP16p11_2,-1.094579213984549,0.4851293151645438,-0.07143171758911333,0.4023375259996636,3.0,0,3
DUP16p13_11,-0.5474185183574671,0.3296730592731691,-0.16299268295653277,0.3754658669049488,0.0,0,0
DUP17p12,-0.5204730272685024,1.3826849000091752,0.18786651249826036,0.6788458794956228,2.0,2,0
DUP22q11_2,-0.5503457547267374,0.9302407049762649,0.23995699139673593,0.5921689927755275,0.0,0,0
SZ,-0.6201351841252662,0.31602998830672324,-0.2135620963493246,0.47314200401333295,1284.0,21,1263
BIP,-0.7754620512531913,0.4831974072771711,-0.16393629275377136,0.5152833146534193,16.0,0,16
ASD,-0.43904487656870617,0.3402362818738751,-0.09583078225312512,0.26757219550672406,73.0,2,71
ADHD,-0.18668744279354252,0.25830501167162634,0.03869417383438739,0.16307994552658778,0.0,0,0
