,min,max,mean,mean_top_dec,FDR,pos,neg
Stand_PRS_newCDG2_ukbb,-0.020882214096153547,0.028130796333720773,-0.00014214519279524395,0.013726350046419145,45.0,23,22
Stand_PRS_ASD,-0.01896591394715612,0.01997370567441533,-0.00018590541186521697,0.011534152484269884,4.0,3,1
Stand_PRS_SCZ,-0.023384812326284924,0.025977412896173974,-2.4046467272896195e-05,0.013766726859196951,57.0,30,27
Stand_PRS_MDD,-0.02415946596648604,0.020490794835261002,-0.0003301861903828915,0.012996037477402063,27.0,6,21
Stand_PRS_IQ,-0.025259883979712083,0.0245601663811976,0.00014355897045122498,0.014854538128967719,116.0,74,42
Stand_PRS_BMI,-0.021403447591092813,0.01897265160623228,-0.00043868440189263625,0.013967131491073797,34.0,20,14
Stand_PRS_height,-0.03639881996482451,0.030363224313501174,-0.0004614028082945562,0.020575171273237654,486.0,238,248
Stand_PRS_T2D,-0.018314164364348847,0.01809243883337132,-0.00010678218418569608,0.011552560402739541,1.0,0,1
Stand_PRS_LDL,-0.016925161922267173,0.016980378463300902,-6.986313044167038e-05,0.009486181977188599,0.0,0,0
Stand_PRS_CKD,-0.01633513846874636,0.0184693476730128,-0.00015881521904274028,0.01011662987186715,0.0,0,0
Stand_PRS_SA,-0.027224833588709314,0.027798911943379016,7.072196300086158e-05,0.017603136095389545,38.0,18,20
Stand_PRS_thickness,-0.0195690432739434,0.022266920428809883,8.605519785730621e-05,0.013522253145718059,0.0,0,0
Stand_PRS_IBD_ukbb,-0.018996342373273613,0.01853251984605255,8.322298649461486e-05,0.01192071957251433,2.0,1,1
CT,-0.057764026791545485,0.05837540509276731,0.0005808423666544324,0.03834962332115861,1082.0,557,525
SA,-0.1125318887711693,0.13132953326872646,0.0006572292565361314,0.07135783779108315,1445.0,711,734
Vol,-0.13136676719595264,0.12523210526265072,0.0005249353129443252,0.07401892561391135,1420.0,704,716
fluid_intelligence_score_all,-0.04431303410297635,0.04083416294822216,0.0002767314477058088,0.024805492448883644,601.0,315,286
Gfactor,-0.06424302792047518,0.04735051865620176,0.0003293291091635697,0.030356260188470912,628.0,340,288
Neuroticism,-0.033646971326903946,0.03610814375209039,-0.0003071122717676524,0.02173206132462246,413.0,208,205
