,min,max,mean,mean_top_dec,FDR,pos,neg
Stand_PRS_newCDG2_ukbb,-0.022654803419124996,0.026846430552757254,-0.0018187027449430254,0.014175188521588632,1.0,1,0
Stand_PRS_ASD,-0.019154104690138986,0.01973697495401057,-0.0004326635495741176,0.011567731492747254,0.0,0,0
Stand_PRS_SCZ,-0.02741715900929953,0.021106444309640388,-0.004927365148672058,0.016545743851212043,23.0,1,22
Stand_PRS_MDD,-0.023940733639322538,0.02085094874365135,7.06644742905464e-05,0.01294787057680529,2.0,0,2
Stand_PRS_IQ,-0.0216230782449046,0.02826088833817124,0.003921375768808995,0.017070965816109715,71.0,68,3
Stand_PRS_BMI,-0.02357895898677673,0.01614148713565018,-0.0033603432923864423,0.015179834065203807,0.0,0,0
Stand_PRS_height,-0.042383650450073806,0.02111016430188144,-0.010738418392505195,0.027602747683850595,871.0,22,849
Stand_PRS_T2D,-0.01824382156894521,0.018146105971427483,-9.886244960893106e-06,0.01155815162766077,0.0,0,0
Stand_PRS_LDL,-0.01889626094154301,0.015334486086312094,-0.0026445110149655106,0.010857541429415082,0.0,0,0
Stand_PRS_CKD,-0.016116548665542355,0.018615135321505428,6.511311728027398e-05,0.010134972689540321,0.0,0,0
Stand_PRS_SA,-0.024882907286490917,0.02904241775788456,0.002254834843135058,0.01819300964933812,0.0,0,0
Stand_PRS_thickness,-0.017947412175137845,0.024363598424225915,0.0023157195754646247,0.014405463101243209,0.0,0,0
Stand_PRS_IBD_ukbb,-0.01978513270884996,0.0178010381055398,-0.0006670239701937223,0.011941048931790554,0.0,0,0
CT,-0.04962603348037264,0.069402262553368,0.01078897835561581,0.042701059763131384,1105.0,927,178
SA,-0.08376612281898138,0.1557292602577376,0.03208175502551941,0.09168278360072152,1609.0,1459,150
Vol,-0.10790918244865147,0.1494290628722573,0.030491016697048446,0.09181673505850772,1629.0,1447,182
fluid_intelligence_score_all,-0.03237624368024472,0.050809399908978516,0.012218152511040834,0.03281848002697156,971.0,932,39
Gfactor,-0.04565600736120567,0.0608273980732699,0.016109618559888076,0.04113428114265562,1050.0,1021,29
Neuroticism,-0.0408851519515212,0.027187238347746338,-0.011130399591640652,0.028275411357151444,805.0,23,782
